name,email,phone,website_url,review_count,google_maps_url,niche,city
Ivory Dental,,,,25,,pediatric dentist,Salt Lake City
Rose Park Pediatric Dentistry,,(801) 519-2222,,45,,pediatric dentist,Salt Lake City
A Kid's Place Dentistry,,(801) 747-8000,,58,,pediatric dentist,Salt Lake City
A Kid's Place Dentistry - Sandy,,(801) 747-8019,http://www.dentalprosutah.com/,99,,pediatric dentist,Salt Lake City
Romney Pediatric Dental - Holladay,,(801) 214-0705,http://romneypediatricdental.com/,32,,pediatric dentist,Salt Lake City
Utah Roofing & Exteriors,,(385) 227-7223,http://utahroofingandexteriors.com/,79,,roofer,Salt Lake City
Shaw Roofing,,(801) 484-5448,http://www.shawroofing.com/,25,,roofer,Salt Lake City
EZ Roofing Utah,,(501) 691-4283,https://www.ezroofingutah.com/,50,,roofer,Salt Lake City
Modern USA,,(385) 558-6664,https://modernusa.pro/,43,,roofer,Salt Lake City
Action Roofing,,(801) 875-7442,http://actionroofingllc.com/,72,,roofer,Salt Lake City
